============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:   75, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22689, cost =
 index:   76, (beta,j): ( 347,   4) --> ( 499,   1), goal index: 22116, cost =
 index:   77, (beta,j): ( 349,   9) --> ( 499,   1), goal index: 22012, cost =
 index:   78, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22172, cost =
 index:   79, (beta,j): ( 350,  11) --> ( 499,   1), goal index: 22265, cost =
 index:   80, (beta,j): ( 350,  11) --> ( 499,   1), goal index: 22411, cost =
 index:   81, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22469, cost =
 index:   82, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22411, cost =
 index:   83, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22472, cost =
 index:   84, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22483, cost =
 index:   85, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22503, cost =
 index:   86, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22545, cost =
 index:   87, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22572, cost =
 index:   88, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22583, cost =
 index:   89, (beta,j): ( 351,  13) --> ( 499,   1), goal index: 22599, cost =
 index:   90, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22616, cost =
 index:   91, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 21289, cost =
 index:   92, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 21463, cost =
 index:   93, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 21534, cost =
 index:   94, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 21777, cost =
 index:   95, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 21842, cost =
 index:   96, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 21897, cost =
 index:   97, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 21840, cost =
 index:   98, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 21910, cost =
 index:   99, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 21925, cost =
 index:  100, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 21974, cost =
 index:  101, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 22012, cost =
 index:  102, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 22034, cost =
 index:  103, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 22051, cost =
 index:  104, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22069, cost =
 index:  105, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 22219, cost =
 index:  106, (beta,j): ( 349,   6) --> ( 499,   1), goal index: 21421, cost =
 index:  107, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 21577, cost =
 index:  108, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 21920, cost =
 index:  109, (beta,j): ( 350,   9) --> ( 499,   1), goal index: 22041, cost =
 index:  110, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22051, cost =
 index:  111, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22247, cost =
 index:  112, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22316, cost =
 index:  113, (beta,j): ( 347,   4) --> ( 499,   1), goal index: 22380, cost =
 index:  114, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22449, cost =
 index:  115, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22457, cost =
 index:  116, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22140, cost =
 index:  117, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 22392, cost =
 index:  118, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22490, cost =
 index:  119, (beta,j): ( 347,   4) --> ( 499,   1), goal index: 22650, cost =
 index:  120, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22786, cost =
 index:  121, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22704, cost =
 index:  122, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 22501, cost =
 index:  123, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22547, cost =
 index:  124, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22719, cost =
 index:  125, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22772, cost =
 index:  126, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22799, cost =
 index:  127, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22791, cost =
 index:  128, (beta,j): ( 348,   6) --> ( 499,   1), goal index: 22793, cost =
 index:  129, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22748, cost =
 index:  130, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22682, cost =
 index:  131, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22714, cost =
 index:  132, (beta,j): ( 349,   8) --> ( 499,   1), goal index: 22711, cost =
 index:  133, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22710, cost =
 index:  134, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22538, cost =
 index:  135, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22583, cost =
 index:  136, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22605, cost =
 index:  137, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22625, cost =
 index:  138, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22601, cost =
 index:  139, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22607, cost =
 index:  140, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22641, cost =
 index:  141, (beta,j): ( 350,  10) --> ( 499,   1), goal index: 22653, cost =
 index:  142, (beta,j): ( 351,  12) --> ( 499,   1), goal index: 22675, cost =
 index:  143, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22678, cost =
 index:  144, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22506, cost =
 index:  145, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22555, cost =
 index:  146, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22584, cost =
 index:  147, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22582, cost =
 index:  148, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22587, cost =
 index:  149, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22592, cost =
 index:  150, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22629, cost =
 index:  151, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22637, cost =
 index:  152, (beta,j): ( 352,  14) --> ( 499,   1), goal index: 22490, cost =
 index:  153, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22622, cost =
 index:  154, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22311, cost =
 index:  155, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22402, cost =
 index:  156, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22459, cost =
 index:  157, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22611, cost =
 index:  158, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22544, cost =
 index:  159, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22549, cost =
 index:  160, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 22034, cost =
 index:  161, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22045, cost =
 index:  162, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22322, cost =
 index:  163, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22470, cost =
 index:  164, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22517, cost =
 index:  165, (beta,j): ( 348,   5) --> ( 499,   1), goal index: 22514, cost =
 index:  166, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22517, cost =
 index:  167, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22530, cost =
 index:  168, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 22541, cost =
 index:  169, (beta,j): ( 349,   6) --> ( 499,   1), goal index: 22265, cost =
 index:  170, (beta,j): ( 349,   6) --> ( 499,   1), goal index: 22342, cost =
 index:  171, (beta,j): ( 350,   8) --> ( 499,   1), goal index: 22384, cost =
 index:  172, (beta,j): ( 351,  11) --> ( 499,   1), goal index: 22486, cost =
 index:  173, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 22595, cost =
 index:  174, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 22585, cost =
 index:  175, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22605, cost =
 index:  176, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22771, cost =
 index:  177, (beta,j): ( 348,   4) --> ( 499,   1), goal index: 22808, cost =
 index:  178, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22719, cost =
 index:  179, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22862, cost =
 index:  180, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22912, cost =
 index:  181, (beta,j): ( 350,   9) --> ( 499,   1), goal index: 22931, cost =
 index:  182, (beta,j): ( 351,  11) --> ( 499,   1), goal index: 22749, cost =
 index:  183, (beta,j): ( 352,  13) --> ( 499,   1), goal index: 22762, cost =
 index:  184, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22744, cost =
 index:  185, (beta,j): ( 349,   7) --> ( 499,   1), goal index: 22908, cost =
