============= Kyber-II
[0m[1;31m dim = 1467, dvol = 5661.08 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+02, enum_bound = 1.000000e+00

 index:   75, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3220, cost =
 index:   76, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3201, cost =
 index:   77, (beta,j): ( 555,   9) --> ( 699,   1), goal index: 3185, cost =
 index:   78, (beta,j): ( 554,   7) --> ( 699,   1), goal index: 3234, cost =
 index:   79, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3250, cost =
 index:   80, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3182, cost =
 index:   81, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3221, cost =
 index:   82, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3225, cost =
 index:   83, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3186, cost =
 index:   84, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3208, cost =
 index:   85, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3218, cost =
 index:   86, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3142, cost =
 index:   87, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3182, cost =
 index:   88, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3148, cost =
 index:   89, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3163, cost =
 index:   90, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3124, cost =
 index:   91, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3145, cost =
 index:   92, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3160, cost =
 index:   93, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3187, cost =
 index:   94, (beta,j): ( 554,   6) --> ( 699,   1), goal index: 3139, cost =
 index:   95, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3216, cost =
 index:   96, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3228, cost =
 index:   97, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3141, cost =
 index:   98, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3044, cost =
 index:   99, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3134, cost =
 index:  100, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3195, cost =
 index:  101, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3060, cost =
 index:  102, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3120, cost =
 index:  103, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3179, cost =
 index:  104, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3191, cost =
 index:  105, (beta,j): ( 554,   5) --> ( 699,   1), goal index: 3184, cost =
 index:  106, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3231, cost =
 index:  107, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3148, cost =
 index:  108, (beta,j): ( 554,   3) --> ( 699,   1), goal index: 3176, cost =
 index:  109, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3137, cost =
 index:  110, (beta,j): ( 553,   2) --> ( 699,   1), goal index: 3183, cost =
 index:  111, (beta,j): ( 554,   3) --> ( 699,   1), goal index: 3232, cost =
 index:  112, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3089, cost =
 index:  113, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3144, cost =
 index:  114, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3191, cost =
 index:  115, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3140, cost =
 index:  116, (beta,j): ( 554,   4) --> ( 699,   1), goal index: 3140, cost =
 index:  117, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3200, cost =
 index:  118, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3093, cost =
 index:  119, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3178, cost =
 index:  120, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3151, cost =
 index:  121, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3201, cost =
 index:  122, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3243, cost =
 index:  123, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3205, cost =
 index:  124, (beta,j): ( 553,   1) --> ( 699,   1), goal index: 3181, cost =
 index:  125, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3185, cost =
 index:  126, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3100, cost =
 index:  127, (beta,j): ( 554,   3) --> ( 699,   1), goal index: 3131, cost =
 index:  128, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3187, cost =
 index:  129, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3144, cost =
 index:  130, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3164, cost =
 index:  131, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3177, cost =
 index:  132, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3158, cost =
 index:  133, (beta,j): ( 554,  15) --> ( 699,   1), goal index: 3106, cost =
 index:  134, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3130, cost =
 index:  135, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3080, cost =
 index:  136, (beta,j): ( 554,   2) --> ( 699,   1), goal index: 3137, cost =
 index:  137, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3211, cost =
 index:  138, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3169, cost =
 index:  139, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3123, cost =
 index:  140, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3159, cost =
 index:  141, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3153, cost =
 index:  142, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3130, cost =
 index:  143, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3145, cost =
 index:  144, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3153, cost =
 index:  145, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3113, cost =
 index:  146, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3118, cost =
 index:  147, (beta,j): ( 554,   1) --> ( 699,   1), goal index: 3184, cost =
 index:  148, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3195, cost =
 index:  149, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3089, cost =
 index:  150, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3119, cost =
 index:  151, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3138, cost =
 index:  152, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3167, cost =
 index:  153, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3130, cost =
 index:  154, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3177, cost =
 index:  155, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3180, cost =
 index:  156, (beta,j): ( 555,  15) --> ( 699,   1), goal index: 3166, cost =
 index:  157, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3134, cost =
 index:  158, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3081, cost =
 index:  159, (beta,j): ( 555,   2) --> ( 699,   1), goal index: 3131, cost =
 index:  160, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3182, cost =
 index:  161, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3090, cost =
 index:  162, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3120, cost =
 index:  163, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3073, cost =
 index:  164, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3119, cost =
 index:  165, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3152, cost =
 index:  166, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3172, cost =
 index:  167, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3172, cost =
 index:  168, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3175, cost =
 index:  169, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3179, cost =
 index:  170, (beta,j): ( 555,   1) --> ( 699,   1), goal index: 3143, cost =
 index:  171, (beta,j): ( 556,  15) --> ( 699,   1), goal index: 3180, cost =
 index:  172, (beta,j): ( 556,  15) --> ( 699,   1), goal index: 3087, cost =
 index:  173, (beta,j): ( 556,  15) --> ( 699,   1), goal index: 3151, cost =
