============= Kyber-512
[0m[1;31m     LWE instance generation    [0m
n=512	m=512	q=3329
dim = 1025, m = 512, dvol = 3944.94061028703, β = 405.5315

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 1, J_gap = 1, cost_model = 1, max_loop = 10, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:       74, (  50,   1): (  51,   1) --> (1024,   1), goal index:      768, cost = 
 index:       75, (  51,   1): (  52,   1) --> (1024,   1), goal index:      689, cost = 
 index:       76, (  51,   1): (  52,   1) --> (1024,   1), goal index:      708, cost = 
 index:       77, (  52,   1): (  53,   1) --> (1024,   1), goal index:      727, cost = 
 index:       78, (  51,   1): (  52,   1) --> (1024,   1), goal index:      735, cost = 
 index:       79, (  52,   1): (  53,   1) --> (1024,   1), goal index:      750, cost = 
 index:       80, (  53,   1): (  54,   1) --> (1024,   1), goal index:      757, cost = 
 index:       81, (  51,   1): (  52,   1) --> (1024,   1), goal index:      767, cost = 
 index:       82, (  52,   1): (  53,   1) --> (1024,   1), goal index:      776, cost = 
 index:       83, (  52,   1): (  53,   1) --> (1024,   1), goal index:      783, cost = 
 index:       84, (  53,   1): (  54,   1) --> (1024,   1), goal index:      790, cost = 
 index:       85, (  51,   1): (  52,   1) --> (1024,   1), goal index:      797, cost = 
 index:       86, (  52,   1): (  53,   1) --> (1024,   1), goal index:      805, cost = 
 index:       87, (  51,   1): (  52,   1) --> (1024,   1), goal index:      812, cost = 
 index:       88, (  51,   1): (  52,   1) --> (1024,   1), goal index:      712, cost = 
 index:       89, (  52,   1): (  53,   1) --> (1024,   1), goal index:      732, cost = 
 index:       90, (  51,   1): (  52,   1) --> (1024,   1), goal index:      739, cost = 
 index:       91, (  52,   1): (  53,   1) --> (1024,   1), goal index:      757, cost = 
 index:       92, (  53,   1): (  54,   1) --> (1024,   1), goal index:      764, cost = 
 index:       93, (  51,   1): (  52,   1) --> (1024,   1), goal index:      774, cost = 
 index:       94, (  52,   1): (  53,   1) --> (1024,   1), goal index:      784, cost = 
 index:       95, (  52,   1): (  53,   1) --> (1024,   1), goal index:      790, cost = 
 index:       96, (  53,   1): (  54,   1) --> (1024,   1), goal index:      796, cost = 
 index:       97, (  51,   1): (  52,   1) --> (1024,   1), goal index:      803, cost = 
 index:       98, (  52,   1): (  53,   1) --> (1024,   1), goal index:      813, cost = 
 index:       99, (  52,   1): (  53,   1) --> (1024,   1), goal index:      819, cost = 
 index:      100, (  53,   1): (  54,   1) --> (1024,   1), goal index:      825, cost = 
 index:      101, (  53,   1): (  54,   1) --> (1024,   1), goal index:      832, cost = 
 index:      102, (  51,   1): (  52,   1) --> (1024,   1), goal index:      837, cost = 
 index:      103, (  52,   1): (  53,   1) --> (1024,   1), goal index:      840, cost = 
 index:      104, (  51,   1): (  52,   1) --> (1024,   1), goal index:      846, cost = 
 index:      105, (  51,   1): (  52,   1) --> (1024,   1), goal index:      741, cost = 
 index:      106, (  52,   1): (  53,   1) --> (1024,   1), goal index:      762, cost = 
 index:      107, (  51,   1): (  52,   1) --> (1024,   1), goal index:      768, cost = 
 index:      108, (  52,   1): (  53,   1) --> (1024,   1), goal index:      787, cost = 
 index:      109, (  52,   1): (  53,   1) --> (1024,   1), goal index:      793, cost = 
 index:      110, (  53,   1): (  54,   1) --> (1024,   1), goal index:      799, cost = 
 index:      111, (  51,   1): (  52,   1) --> (1024,   1), goal index:      806, cost = 
 index:      112, (  52,   1): (  53,   1) --> (1024,   1), goal index:      817, cost = 
 index:      113, (  52,   1): (  53,   1) --> (1024,   1), goal index:      823, cost = 
 index:      114, (  53,   1): (  54,   1) --> (1024,   1), goal index:      829, cost = 
 index:      115, (  53,   1): (  54,   1) --> (1024,   1), goal index:      836, cost = 
 index:      116, (  51,   1): (  52,   1) --> (1024,   1), goal index:      841, cost = 
 index:      117, (  52,   1): (  53,   1) --> (1024,   1), goal index:      846, cost = 
 index:      118, (  52,   1): (  53,   1) --> (1024,   1), goal index:      852, cost = 
 index:      119, (  52,   1): (  53,   1) --> (1024,   1), goal index:      858, cost = 
 index:      120, (  53,   1): (  54,   1) --> (1024,   1), goal index:      864, cost = 
 index:      121, (  53,   1): (  54,   1) --> (1024,   1), goal index:      864, cost = 
 index:      122, (  51,   1): (  52,   1) --> (1024,   1), goal index:      869, cost = 
 index:      123, (  52,   1): (  53,   1) --> (1024,   1), goal index:      873, cost = 
 index:      124, (  51,   1): (  52,   1) --> (1024,   1), goal index:      879, cost = 
 index:      125, (  51,   1): (  52,   1) --> (1024,   1), goal index:      772, cost = 
 index:      126, (  52,   1): (  53,   1) --> (1024,   1), goal index:      794, cost = 
 index:      127, (  51,   1): (  52,   1) --> (1024,   1), goal index:      800, cost = 
 index:      128, (  52,   1): (  53,   1) --> (1024,   1), goal index:      819, cost = 
 index:      129, (  52,   1): (  53,   1) --> (1024,   1), goal index:      825, cost = 
 index:      130, (  53,   1): (  54,   1) --> (1024,   1), goal index:      831, cost = 
 index:      131, (  51,   1): (  52,   1) --> (1024,   1), goal index:      837, cost = 
 index:      132, (  52,   1): (  53,   1) --> (1024,   1), goal index:      849, cost = 
 index:      133, (  52,   1): (  53,   1) --> (1024,   1), goal index:      855, cost = 
 index:      134, (  52,   1): (  53,   1) --> (1024,   1), goal index:      861, cost = 
 index:      135, (  53,   1): (  54,   1) --> (1024,   1), goal index:      867, cost = 
 index:      136, (  51,   1): (  52,   1) --> (1024,   1), goal index:      867, cost = 
 index:      137, (  52,   1): (  53,   1) --> (1024,   1), goal index:      879, cost = 
 index:      138, (  52,   1): (  53,   1) --> (1024,   1), goal index:      885, cost = 
 index:      139, (  52,   1): (  53,   1) --> (1024,   1), goal index:      891, cost = 
 index:      140, (  53,   1): (  54,   1) --> (1024,   1), goal index:      897, cost = 
 index:      141, (  51,   1): (  52,   1) --> (1024,   1), goal index:      897, cost = 
 index:      142, (  52,   1): (  53,   1) --> (1024,   1), goal index:      909, cost = 
 index:      143, (  51,   1): (  52,   1) --> (1024,   1), goal index:      915, cost = 
 index:      144, (  51,   1): (  52,   1) --> (1024,   1), goal index:      803, cost = 
 index:      145, (  52,   1): (  53,   1) --> (1024,   1), goal index:      825, cost = 
 index:      146, (  51,   1): (  52,   1) --> (1024,   1), goal index:      831, cost = 
 index:      147, (  52,   1): (  53,   1) --> (1024,   1), goal index:      851, cost = 
 index:      148, (  52,   1): (  53,   1) --> (1024,   1), goal index:      856, cost = 
 index:      149, (  53,   1): (  54,   1) --> (1024,   1), goal index:      862, cost = 
 index:      150, (  51,   1): (  52,   1) --> (1024,   1), goal index:      868, cost = 
 index:      151, (  52,   1): (  53,   1) --> (1024,   1), goal index:      882, cost = 
 index:      152, (  52,   1): (  53,   1) --> (1024,   1), goal index:      888, cost = 
 index:      153, (  52,   1): (  53,   1) --> (1024,   1), goal index:      894, cost = 
 index:      154, (  53,   1): (  54,   1) --> (1024,   1), goal index:      900, cost = 
 index:      155, (  51,   1): (  52,   1) --> (1024,   1), goal index:      900, cost = 
 index:      156, (  52,   1): (  53,   1) --> (1024,   1), goal index:      914, cost = 
 index:      157, (  52,   1): (  53,   1) --> (1024,   1), goal index:      920, cost = 
 index:      158, (  52,   1): (  53,   1) --> (1024,   1), goal index:      926, cost = 
 index:      159, (  52,   1): (  53,   1) --> (1024,   1), goal index:      932, cost = 
 index:      160, (  51,   1): (  52,   1) --> (1024,   1), goal index:      938, cost = 
 index:      161, (  52,   1): (  53,   1) --> (1024,   1), goal index:      943, cost = 
 index:      162, (  51,   1): (  52,   1) --> (1024,   1), goal index:      949, cost = 
 index:      163, (  51,   1): (  52,   1) --> (1024,   1), goal index:      834, cost = 
 index:      164, (  52,   1): (  53,   1) --> (1024,   1), goal index:      857, cost = 
 index:      165, (  51,   1): (  52,   1) --> (1024,   1), goal index:      863, cost = 
 index:      166, (  52,   1): (  53,   1) --> (1024,   1), goal index:      884, cost = 
 index:      167, (  52,   1): (  53,   1) --> (1024,   1), goal index:      890, cost = 
 index:      168, (  53,   1): (  54,   1) --> (1024,   1), goal index:      897, cost = 
 index:      169, (  51,   1): (  52,   1) --> (1024,   1), goal index:      903, cost = 
 index:      170, (  52,   1): (  53,   1) --> (1024,   1), goal index:      917, cost = 
 index:      171, (  52,   1): (  53,   1) --> (1024,   1), goal index:      923, cost = 
 index:      172, (  52,   1): (  53,   1) --> (1024,   1), goal index:      929, cost = 
 index:      173, (  51,   1): (  52,   1) --> (1024,   1), goal index:      935, cost = 
 index:      174, (  52,   1): (  53,   1) --> (1024,   1), goal index:      949, cost = 
 index:      175, (  52,   1): (  53,   1) --> (1024,   1), goal index:      955, cost = 
 index:      176, (  52,   1): (  53,   1) --> (1024,   1), goal index:      961, cost = 
 index:      177, (  51,   1): (  52,   1) --> (1024,   1), goal index:      967, cost = 
 index:      178, (  52,   1): (  53,   1) --> (1024,   1), goal index:      981, cost = 
 index:      179, (  51,   1): (  52,   1) --> (1024,   1), goal index:      987, cost = 
 index:      180, (  51,   1): (  52,   1) --> (1024,   1), goal index:      864, cost = 
 index:      181, (  52,   1): (  53,   1) --> (1024,   1), goal index:      888, cost = 
 index:      182, (  51,   1): (  52,   1) --> (1024,   1), goal index:      895, cost = 
 index:      183, (  52,   1): (  53,   1) --> (1024,   1), goal index:      917, cost = 
 index:      184, (  52,   1): (  53,   1) --> (1024,   1), goal index:      923, cost = 
 index:      185, (  53,   1): (  54,   1) --> (1024,   1), goal index:      930, cost = 
 index:      186, (  51,   1): (  52,   1) --> (1024,   1), goal index:      936, cost = 
 index:      187, (  52,   1): (  53,   1) --> (1024,   1), goal index:      951, cost = 
 index:      188, (  52,   1): (  53,   1) --> (1024,   1), goal index:      957, cost = 
 index:      189, (  52,   1): (  53,   1) --> (1024,   1), goal index:      963, cost = 
 index:      190, (  51,   1): (  52,   1) --> (1024,   1), goal index:      969, cost = 
 index:      191, (  52,   1): (  53,   1) --> (1024,   1), goal index:      984, cost = 
 index:      192, (  52,   1): (  53,   1) --> (1024,   1), goal index:      990, cost = 
 index:      193, (  52,   1): (  53,   1) --> (1024,   1), goal index:      996, cost = 
 index:      194, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1002, cost = 
 index:      195, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1008, cost = 
 index:      196, (  51,   1): (  52,   1) --> (1024,   1), goal index:     1015, cost = 
 index:      197, (  51,   1): (  52,   1) --> (1024,   1), goal index:      888, cost = 
 index:      198, (  52,   1): (  53,   1) --> (1024,   1), goal index:      912, cost = 
 index:      199, (  51,   1): (  52,   1) --> (1024,   1), goal index:      919, cost = 
 index:      200, (  52,   1): (  53,   1) --> (1024,   1), goal index:      942, cost = 
 index:      201, (  52,   1): (  53,   1) --> (1024,   1), goal index:      948, cost = 
 index:      202, (  53,   1): (  54,   1) --> (1024,   1), goal index:      955, cost = 
 index:      203, (  51,   1): (  52,   1) --> (1024,   1), goal index:      961, cost = 
 index:      204, (  52,   1): (  53,   1) --> (1024,   1), goal index:      977, cost = 
 index:      205, (  52,   1): (  53,   1) --> (1024,   1), goal index:      983, cost = 
 index:      206, (  52,   1): (  53,   1) --> (1024,   1), goal index:      989, cost = 
 index:      207, (  53,   1): (  54,   1) --> (1024,   1), goal index:      995, cost = 
 index:      208, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1001, cost = 
 index:      209, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1008, cost = 
 index:      210, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1014, cost = 
 index:      211, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1020, cost = 
 index:      212, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1026, cost = 
 index:      213, (  51,   1): (  52,   1) --> (1024,   1), goal index:     1033, cost = 
 index:      214, (  51,   1): (  52,   1) --> (1024,   1), goal index:      907, cost = 
 index:      215, (  52,   1): (  53,   1) --> (1024,   1), goal index:      932, cost = 
 index:      216, (  51,   1): (  52,   1) --> (1024,   1), goal index:      939, cost = 
 index:      217, (  52,   1): (  53,   1) --> (1024,   1), goal index:      963, cost = 
 index:      218, (  52,   1): (  53,   1) --> (1024,   1), goal index:      970, cost = 
 index:      219, (  53,   1): (  54,   1) --> (1024,   1), goal index:      977, cost = 
 index:      220, (  52,   1): (  53,   1) --> (1024,   1), goal index:      983, cost = 
 index:      221, (  52,   1): (  53,   1) --> (1024,   1), goal index:      994, cost = 
 index:      222, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1000, cost = 
 index:      223, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1006, cost = 
 index:      224, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1012, cost = 
 index:      225, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1019, cost = 
 index:      226, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1025, cost = 
 index:      227, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1031, cost = 
 index:      228, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1037, cost = 
 index:      229, (  51,   1): (  52,   1) --> (1024,   1), goal index:     1042, cost = 
 index:      230, (  51,   1): (  52,   1) --> (1024,   1), goal index:      917, cost = 
 index:      231, (  52,   1): (  53,   1) --> (1024,   1), goal index:      942, cost = 
 index:      232, (  52,   1): (  53,   1) --> (1024,   1), goal index:      950, cost = 
 index:      233, (  52,   1): (  53,   1) --> (1024,   1), goal index:      965, cost = 
 index:      234, (  53,   1): (  54,   1) --> (1024,   1), goal index:      972, cost = 
 index:      235, (  52,   1): (  53,   1) --> (1024,   1), goal index:      978, cost = 
 index:      236, (  52,   1): (  53,   1) --> (1024,   1), goal index:      990, cost = 
 index:      237, (  52,   1): (  53,   1) --> (1024,   1), goal index:      997, cost = 
 index:      238, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1003, cost = 
 index:      239, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1009, cost = 
 index:      240, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1019, cost = 
 index:      241, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1024, cost = 
 index:      242, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1030, cost = 
 index:      243, (  51,   1): (  52,   1) --> (1024,   1), goal index:     1035, cost = 
 index:      244, (  52,   1): (  53,   1) --> (1024,   1), goal index:      918, cost = 
 index:      245, (  52,   1): (  53,   1) --> (1024,   1), goal index:      935, cost = 
 index:      246, (  52,   1): (  53,   1) --> (1024,   1), goal index:      950, cost = 
 index:      247, (  53,   1): (  54,   1) --> (1024,   1), goal index:      958, cost = 
 index:      248, (  52,   1): (  53,   1) --> (1024,   1), goal index:      965, cost = 
 index:      249, (  52,   1): (  53,   1) --> (1024,   1), goal index:      978, cost = 
 index:      250, (  53,   1): (  54,   1) --> (1024,   1), goal index:      983, cost = 
 index:      251, (  52,   1): (  53,   1) --> (1024,   1), goal index:      989, cost = 
 index:      252, (  52,   1): (  53,   1) --> (1024,   1), goal index:      999, cost = 
 index:      253, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1004, cost = 
 index:      254, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1009, cost = 
 index:      255, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1015, cost = 
 index:      256, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1021, cost = 
 index:      257, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1026, cost = 
 index:      258, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1031, cost = 
 index:      259, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1037, cost = 
 index:      260, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1041, cost = 
 index:      261, (  52,   1): (  53,   1) --> (1024,   1), goal index:      941, cost = 
 index:      262, (  53,   1): (  54,   1) --> (1024,   1), goal index:      959, cost = 
 index:      263, (  52,   1): (  53,   1) --> (1024,   1), goal index:      965, cost = 
 index:      264, (  52,   1): (  53,   1) --> (1024,   1), goal index:      979, cost = 
 index:      265, (  53,   1): (  54,   1) --> (1024,   1), goal index:      987, cost = 
 index:      266, (  54,   1): (  55,   1) --> (1024,   1), goal index:      993, cost = 
 index:      267, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1003, cost = 
 index:      268, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1007, cost = 
 index:      269, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1012, cost = 
 index:      270, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1018, cost = 
 index:      271, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1024, cost = 
 index:      272, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1030, cost = 
 index:      273, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1036, cost = 
 index:      274, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1042, cost = 
 index:      275, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1046, cost = 
 index:      276, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1052, cost = 
 index:      277, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1058, cost = 
 index:      278, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1064, cost = 
 index:      279, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1068, cost = 
 index:      280, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1072, cost = 
 index:      281, (  52,   1): (  53,   1) --> (1024,   1), goal index:      966, cost = 
 index:      282, (  53,   1): (  54,   1) --> (1024,   1), goal index:      985, cost = 
 index:      283, (  52,   1): (  53,   1) --> (1024,   1), goal index:      991, cost = 
 index:      284, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1006, cost = 
 index:      285, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1015, cost = 
 index:      286, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1021, cost = 
 index:      287, (  54,   1): (  55,   1) --> (1024,   1), goal index:     1027, cost = 
 index:      288, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1033, cost = 
 index:      289, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1038, cost = 
 index:      290, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1044, cost = 
 index:      291, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1048, cost = 
 index:      292, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1054, cost = 
 index:      293, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1061, cost = 
 index:      294, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1068, cost = 
 index:      295, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1074, cost = 
 index:      296, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1078, cost = 
 index:      297, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1084, cost = 
 index:      298, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1091, cost = 
 index:      299, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1097, cost = 
 index:      300, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1101, cost = 
 index:      301, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1108, cost = 
 index:      302, (  52,   1): (  53,   1) --> (1024,   1), goal index:      995, cost = 
 index:      303, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1015, cost = 
 index:      304, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1021, cost = 
 index:      305, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1037, cost = 
 index:      306, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1047, cost = 
 index:      307, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1053, cost = 
 index:      308, (  54,   1): (  55,   1) --> (1024,   1), goal index:     1059, cost = 
 index:      309, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1065, cost = 
 index:      310, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1071, cost = 
 index:      311, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1077, cost = 
 index:      312, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1081, cost = 
 index:      313, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1087, cost = 
 index:      314, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1093, cost = 
 index:      315, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1102, cost = 
 index:      316, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1108, cost = 
 index:      317, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1114, cost = 
 index:      318, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1118, cost = 
 index:      319, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1125, cost = 
 index:      320, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1130, cost = 
 index:      321, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1134, cost = 
 index:      322, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1139, cost = 
 index:      323, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1026, cost = 
 index:      324, (  53,   1): (  54,   1) --> (1024,   1), goal index:     1047, cost = 
 index:      325, (  52,   1): (  53,   1) --> (1024,   1), goal index:     1052, cost = 
