============= Kyber-1024
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=3329
dim = 1918, m = 893, dvol = 7242.61152315450, β = 873.2308

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 10, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:       74, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1238, cost =
 index:       75, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1243, cost =
 index:       76, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1237, cost =
 index:       77, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1251, cost =
 index:       78, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1262, cost =
 index:       79, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1268, cost =
 index:       80, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1226, cost =
 index:       81, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1242, cost =
 index:       82, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1247, cost =
 index:       83, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1259, cost =
 index:       84, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1264, cost =
 index:       85, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1243, cost =
 index:       86, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1260, cost =
 index:       87, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1271, cost =
 index:       88, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1278, cost =
 index:       89, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1283, cost =
 index:       90, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1283, cost =
 index:       91, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1296, cost =
 index:       92, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1261, cost =
 index:       93, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1276, cost =
 index:       94, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1281, cost =
 index:       95, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1293, cost =
 index:       96, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1298, cost =
 index:       97, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1257, cost =
 index:       98, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1274, cost =
 index:       99, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1279, cost =
 index:      100, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1279, cost =
 index:      101, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1293, cost =
 index:      102, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1298, cost =
 index:      103, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1278, cost =
 index:      104, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1288, cost =
 index:      105, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1288, cost =
 index:      106, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1302, cost =
 index:      107, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1307, cost =
 index:      108, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1318, cost =
 index:      109, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1323, cost =
 index:      110, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1291, cost =
 index:      111, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1308, cost =
 index:      112, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1313, cost =
 index:      113, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1313, cost =
 index:      114, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1327, cost =
 index:      115, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      116, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1292, cost =
 index:      117, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1301, cost =
 index:      118, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1301, cost =
 index:      119, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1301, cost =
 index:      120, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1312, cost =
 index:      121, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1316, cost =
 index:      122, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1302, cost =
 index:      123, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1311, cost =
 index:      124, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1311, cost =
 index:      125, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1328, cost =
 index:      126, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1332, cost =
 index:      127, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      128, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1347, cost =
 index:      129, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1351, cost =
 index:      130, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1317, cost =
 index:      131, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1319, cost =
 index:      132, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1332, cost =
 index:      133, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      134, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1344, cost =
 index:      135, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1348, cost =
 index:      136, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1318, cost =
 index:      137, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1328, cost =
 index:      138, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1328, cost =
 index:      139, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1345, cost =
 index:      140, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1349, cost =
 index:      141, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1322, cost =
 index:      142, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1331, cost =
 index:      143, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1331, cost =
 index:      144, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1340, cost =
 index:      145, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1340, cost =
 index:      146, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1354, cost =
 index:      147, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1358, cost =
 index:      148, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1331, cost =
 index:      149, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1333, cost =
 index:      150, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1344, cost =
 index:      151, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1344, cost =
 index:      152, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1361, cost =
 index:      153, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1365, cost =
 index:      154, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1332, cost =
 index:      155, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1343, cost =
 index:      156, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1343, cost =
 index:      157, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1354, cost =
 index:      158, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1354, cost =
 index:      159, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1339, cost =
 index:      160, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1349, cost =
 index:      161, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1350, cost =
 index:      162, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1360, cost =
 index:      163, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1360, cost =
 index:      164, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1360, cost =
 index:      165, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1377, cost =
 index:      166, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1381, cost =
 index:      167, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1353, cost =
 index:      168, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1358, cost =
 index:      169, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1370, cost =
 index:      170, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1370, cost =
 index:      171, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1382, cost =
 index:      172, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1382, cost =
 index:      173, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1357, cost =
 index:      174, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1369, cost =
 index:      175, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1369, cost =
 index:      176, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1369, cost =
 index:      177, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1378, cost =
 index:      178, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1378, cost =
 index:      179, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1378, cost =
 index:      180, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1365, cost =
 index:      181, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1374, cost =
 index:      182, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1375, cost =
 index:      183, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1387, cost =
 index:      184, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1387, cost =
 index:      185, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1387, cost =
 index:      186, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1387, cost =
 index:      187, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1400, cost =
 index:      188, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1400, cost =
 index:      189, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1382, cost =
 index:      190, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1387, cost =
 index:      191, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1401, cost =
 index:      192, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1401, cost =
 index:      193, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1412, cost =
 index:      194, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1412, cost =
 index:      195, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1390, cost =
 index:      196, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1403, cost =
 index:      197, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1404, cost =
 index:      198, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1404, cost =
 index:      199, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1404, cost =
 index:      200, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1416, cost =
 index:      201, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1416, cost =
 index:      202, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1396, cost =
 index:      203, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1407, cost =
 index:      204, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1409, cost =
 index:      205, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1421, cost =
 index:      206, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1421, cost =
 index:      207, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1421, cost =
 index:      208, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1421, cost =
 index:      209, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1431, cost =
 index:      210, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1431, cost =
 index:      211, (  55,   4): (  55,   1) --> (1499,   1), goal index:     1413, cost =
 index:      212, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1418, cost =
 index:      213, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1432, cost =
 index:      214, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1436, cost =
 index:      215, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1443, cost =
 index:      216, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1443, cost =
 index:      217, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1443, cost =
 index:      218, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1443, cost =
