============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 3, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:       76, (  58,   7): (  58,   4) --> (1499,   1), goal index:      791, cost =
 index:       77, (  57,   7): (  57,   4) --> (1499,   1), goal index:      790, cost =
 index:       78, (  57,   7): (  57,   4) --> (1499,   1), goal index:      749, cost =
 index:       79, (  57,   7): (  57,   4) --> (1499,   1), goal index:      760, cost =
 index:       80, (  58,   7): (  58,   4) --> (1499,   1), goal index:      771, cost =
 index:       81, (  58,   7): (  58,   4) --> (1499,   1), goal index:      782, cost =
 index:       82, (  58,   7): (  58,   4) --> (1499,   1), goal index:      793, cost =
 index:       83, (  57,   7): (  57,   4) --> (1499,   1), goal index:      793, cost =
 index:       84, (  56,   4): (  56,   1) --> (1499,   1), goal index:      758, cost =
 index:       85, (  57,   7): (  57,   4) --> (1499,   1), goal index:      772, cost =
 index:       86, (  57,   7): (  57,   4) --> (1499,   1), goal index:      781, cost =
 index:       87, (  58,   7): (  58,   4) --> (1499,   1), goal index:      792, cost =
 index:       88, (  58,   7): (  58,   4) --> (1499,   1), goal index:      798, cost =
 index:       89, (  56,   4): (  56,   1) --> (1499,   1), goal index:      791, cost =
 index:       90, (  56,   4): (  56,   1) --> (1499,   1), goal index:      765, cost =
 index:       91, (  57,   7): (  57,   4) --> (1499,   1), goal index:      764, cost =
 index:       92, (  57,   7): (  57,   4) --> (1499,   1), goal index:      773, cost =
 index:       93, (  57,   7): (  57,   4) --> (1499,   1), goal index:      788, cost =
 index:       94, (  58,   7): (  58,   4) --> (1499,   1), goal index:      790, cost =
 index:       95, (  58,   7): (  58,   4) --> (1499,   1), goal index:      802, cost =
 index:       96, (  58,   7): (  58,   4) --> (1499,   1), goal index:      814, cost =
 index:       97, (  57,   7): (  57,   4) --> (1499,   1), goal index:      810, cost =
 index:       98, (  57,   7): (  57,   4) --> (1499,   1), goal index:      771, cost =
 index:       99, (  57,   7): (  57,   4) --> (1499,   1), goal index:      784, cost =
 index:      100, (  58,   7): (  58,   4) --> (1499,   1), goal index:      792, cost =
 index:      101, (  58,   7): (  58,   4) --> (1499,   1), goal index:      804, cost =
 index:      102, (  58,   7): (  58,   4) --> (1499,   1), goal index:      816, cost =
 index:      103, (  57,   7): (  57,   4) --> (1499,   1), goal index:      817, cost =
 index:      104, (  57,   7): (  57,   4) --> (1499,   1), goal index:      778, cost =
 index:      105, (  57,   7): (  57,   4) --> (1499,   1), goal index:      785, cost =
 index:      106, (  58,   7): (  58,   4) --> (1499,   1), goal index:      797, cost =
 index:      107, (  58,   7): (  58,   4) --> (1499,   1), goal index:      807, cost =
 index:      108, (  58,   7): (  58,   4) --> (1499,   1), goal index:      807, cost =
 index:      109, (  58,   7): (  58,   4) --> (1499,   1), goal index:      820, cost =
 index:      110, (  57,   7): (  57,   4) --> (1499,   1), goal index:      818, cost =
 index:      111, (  57,   7): (  57,   4) --> (1499,   1), goal index:      782, cost =
 index:      112, (  57,   7): (  57,   4) --> (1499,   1), goal index:      798, cost =
 index:      113, (  58,   7): (  58,   4) --> (1499,   1), goal index:      807, cost =
 index:      114, (  58,   7): (  58,   4) --> (1499,   1), goal index:      820, cost =
 index:      115, (  58,   7): (  58,   4) --> (1499,   1), goal index:      833, cost =
 index:      116, (  57,   7): (  57,   4) --> (1499,   1), goal index:      835, cost =
 index:      117, (  57,   7): (  57,   4) --> (1499,   1), goal index:      794, cost =
 index:      118, (  58,   7): (  58,   4) --> (1499,   1), goal index:      800, cost =
 index:      119, (  58,   7): (  58,   4) --> (1499,   1), goal index:      814, cost =
 index:      120, (  58,   7): (  58,   4) --> (1499,   1), goal index:      820, cost =
 index:      121, (  58,   7): (  58,   4) --> (1499,   1), goal index:      825, cost =
 index:      122, (  58,   7): (  58,   4) --> (1499,   1), goal index:      829, cost =
 index:      123, (  57,   7): (  57,   4) --> (1499,   1), goal index:      824, cost =
 index:      124, (  58,   7): (  58,   4) --> (1499,   1), goal index:      797, cost =
 index:      125, (  58,   7): (  58,   4) --> (1499,   1), goal index:      800, cost =
 index:      126, (  58,   7): (  58,   4) --> (1499,   1), goal index:      813, cost =
 index:      127, (  57,   7): (  57,   4) --> (1499,   1), goal index:      820, cost =
 index:      128, (  57,   7): (  57,   4) --> (1499,   1), goal index:      796, cost =
 index:      129, (  58,   7): (  58,   4) --> (1499,   1), goal index:      803, cost =
 index:      130, (  58,   7): (  58,   4) --> (1499,   1), goal index:      818, cost =
 index:      131, (  58,   7): (  58,   4) --> (1499,   1), goal index:      827, cost =
 index:      132, (  58,   7): (  58,   4) --> (1499,   1), goal index:      839, cost =
 index:      133, (  58,   7): (  58,   4) --> (1499,   1), goal index:      836, cost =
 index:      134, (  57,   4): (  57,   1) --> (1499,   1), goal index:      836, cost =
 index:      135, (  58,   7): (  58,   4) --> (1499,   1), goal index:      825, cost =
 index:      136, (  57,   4): (  57,   1) --> (1499,   1), goal index:      838, cost =
 index:      137, (  58,   7): (  58,   4) --> (1499,   1), goal index:      836, cost =
 index:      138, (  58,   7): (  58,   4) --> (1499,   1), goal index:      821, cost =
 index:      139, (  58,   7): (  58,   4) --> (1499,   1), goal index:      816, cost =
 index:      140, (  58,   7): (  58,   4) --> (1499,   1), goal index:      830, cost =
 index:      141, (  58,   7): (  58,   4) --> (1499,   1), goal index:      837, cost =
 index:      142, (  58,   7): (  58,   4) --> (1499,   1), goal index:      819, cost =
 index:      143, (  58,   7): (  58,   4) --> (1499,   1), goal index:      822, cost =
 index:      144, (  58,   7): (  58,   4) --> (1499,   1), goal index:      839, cost =
 index:      145, (  58,   7): (  58,   4) --> (1499,   1), goal index:      846, cost =
 index:      146, (  57,   4): (  57,   1) --> (1499,   1), goal index:      859, cost =
 index:      147, (  57,   4): (  57,   1) --> (1499,   1), goal index:      835, cost =
 index:      148, (  58,   7): (  58,   4) --> (1499,   1), goal index:      831, cost =
 index:      149, (  58,   7): (  58,   4) --> (1499,   1), goal index:      844, cost =
 index:      150, (  58,   7): (  58,   4) --> (1499,   1), goal index:      851, cost =
 index:      151, (  58,   7): (  58,   4) --> (1499,   1), goal index:      831, cost =
 index:      152, (  58,   7): (  58,   4) --> (1499,   1), goal index:      829, cost =
 index:      153, (  58,   7): (  58,   4) --> (1499,   1), goal index:      844, cost =
 index:      154, (  58,   7): (  58,   4) --> (1499,   1), goal index:      850, cost =
 index:      155, (  58,   7): (  58,   4) --> (1499,   1), goal index:      831, cost =
 index:      156, (  58,   7): (  58,   4) --> (1499,   1), goal index:      836, cost =
 index:      157, (  58,   7): (  58,   4) --> (1499,   1), goal index:      853, cost =
 index:      158, (  58,   7): (  58,   4) --> (1499,   1), goal index:      860, cost =
 index:      159, (  58,   7): (  58,   4) --> (1499,   1), goal index:      844, cost =
 index:      160, (  58,   7): (  58,   4) --> (1499,   1), goal index:      845, cost =
 index:      161, (  58,   7): (  58,   4) --> (1499,   1), goal index:      858, cost =
 index:      162, (  57,   4): (  57,   1) --> (1499,   1), goal index:      845, cost =
 index:      163, (  57,   4): (  57,   1) --> (1499,   1), goal index:      841, cost =
 index:      164, (  58,   7): (  58,   4) --> (1499,   1), goal index:      855, cost =
 index:      165, (  58,   7): (  58,   4) --> (1499,   1), goal index:      828, cost =
 index:      166, (  59,   7): (  59,   4) --> (1499,   1), goal index:      844, cost =
 index:      167, (  59,   7): (  59,   4) --> (1499,   1), goal index:      860, cost =
 index:      168, (  58,   7): (  58,   4) --> (1499,   1), goal index:      874, cost =
 index:      169, (  58,   7): (  58,   4) --> (1499,   1), goal index:      838, cost =
 index:      170, (  58,   7): (  58,   4) --> (1499,   1), goal index:      844, cost =
 index:      171, (  58,   7): (  58,   4) --> (1499,   1), goal index:      862, cost =
 index:      172, (  58,   7): (  58,   4) --> (1499,   1), goal index:      871, cost =
 index:      173, (  58,   7): (  58,   4) --> (1499,   1), goal index:      855, cost =
 index:      174, (  59,   7): (  59,   4) --> (1499,   1), goal index:      855, cost =
 index:      175, (  59,   7): (  59,   4) --> (1499,   1), goal index:      866, cost =
