============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 1, J_gap = 1, cost_model = 1, max_loop = 1, threads = 50

 index:   78, (beta,j): (  74,   1) --> ( 499,   1), goal index: 4370, cost =
 index:   79, (beta,j): (  89,   1) --> ( 499,   1), goal index: 4370, cost =
 index:   80, (beta,j): (  76,   1) --> ( 499,   1), goal index: 4371, cost =
 index:   81, (beta,j): (  75,   1) --> ( 499,   1), goal index: 4372, cost =
 index:   82, (beta,j): (  73,   1) --> ( 499,   1), goal index: 4374, cost =
 index:   83, (beta,j): (  90,   1) --> ( 499,   1), goal index: 4374, cost =
 index:   84, (beta,j): (  77,   1) --> ( 499,   1), goal index: 4376, cost =
 index:   85, (beta,j): (  76,   1) --> ( 499,   1), goal index: 4377, cost =
 index:   86, (beta,j): (  77,   1) --> ( 499,   1), goal index: 4377, cost =
 index:   87, (beta,j): (  91,   1) --> ( 499,   1), goal index: 4378, cost =
 index:   88, (beta,j): (  77,   1) --> ( 499,   1), goal index: 4381, cost =
 index:   89, (beta,j): (  78,   1) --> ( 499,   1), goal index: 4382, cost =
 index:   90, (beta,j): (  79,   1) --> ( 499,   1), goal index: 4383, cost =
 index:   91, (beta,j): (  92,   1) --> ( 499,   1), goal index: 4384, cost =
 index:   92, (beta,j): (  79,   1) --> ( 499,   1), goal index: 4385, cost =
 index:   93, (beta,j): (  78,   1) --> ( 499,   1), goal index: 4386, cost =
 index:   94, (beta,j): (  80,   1) --> ( 499,   1), goal index: 4387, cost =
 index:   95, (beta,j): (  93,   1) --> ( 499,   1), goal index: 4389, cost =
 index:   96, (beta,j): (  80,   1) --> ( 499,   1), goal index: 4391, cost =
 index:   97, (beta,j): (  81,   1) --> ( 499,   1), goal index: 4391, cost =
 index:   98, (beta,j): (  80,   1) --> ( 499,   1), goal index: 4392, cost =
 index:   99, (beta,j): (  94,   1) --> ( 499,   1), goal index: 4393, cost =
 index:  100, (beta,j): (  80,   1) --> ( 499,   1), goal index: 4395, cost =
 index:  101, (beta,j): (  82,   1) --> ( 499,   1), goal index: 4396, cost =
 index:  102, (beta,j): (  80,   1) --> ( 499,   1), goal index: 4397, cost =
