============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:   75, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21194, cost =
 index:   76, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21319, cost =
 index:   77, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21404, cost =
 index:   78, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21444, cost =
 index:   79, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21472, cost =
 index:   80, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21458, cost =
 index:   81, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21524, cost =
 index:   82, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21563, cost =
 index:   83, (beta,j): ( 351,  10) --> ( 699,   1), goal index: 21589, cost =
 index:   84, (beta,j): ( 352,  12) --> ( 699,   1), goal index: 21555, cost =
 index:   85, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21763, cost =
 index:   86, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21467, cost =
 index:   87, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21547, cost =
 index:   88, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21590, cost =
 index:   89, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21617, cost =
 index:   90, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21663, cost =
 index:   91, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21709, cost =
 index:   92, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21660, cost =
 index:   93, (beta,j): ( 353,  14) --> ( 699,   1), goal index: 21669, cost =
 index:   94, (beta,j): ( 335,   1) --> ( 699,   1), goal index: 21726, cost =
 index:   95, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 21425, cost =
 index:   96, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 21247, cost =
 index:   97, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 21258, cost =
 index:   98, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 21379, cost =
 index:   99, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 21431, cost =
 index:  100, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 21450, cost =
 index:  101, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 21497, cost =
 index:  102, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 21524, cost =
 index:  103, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 21587, cost =
 index:  104, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 21542, cost =
 index:  105, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 21353, cost =
 index:  106, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 21481, cost =
 index:  107, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 21538, cost =
 index:  108, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 21576, cost =
 index:  109, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 21600, cost =
 index:  110, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 21621, cost =
 index:  111, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 21375, cost =
 index:  112, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 21446, cost =
 index:  113, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 21557, cost =
 index:  114, (beta,j): ( 335,   1) --> ( 699,   1), goal index: 21612, cost =
 index:  115, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 21516, cost =
 index:  116, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 21762, cost =
 index:  117, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 21680, cost =
 index:  118, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 21740, cost =
 index:  119, (beta,j): ( 350,   7) --> ( 699,   1), goal index: 21969, cost =
 index:  120, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 22148, cost =
 index:  121, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 21876, cost =
 index:  122, (beta,j): ( 340,   3) --> ( 699,   1), goal index: 22191, cost =
 index:  123, (beta,j): ( 349,   5) --> ( 699,   1), goal index: 22301, cost =
 index:  124, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22351, cost =
