============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS)
beta_start= 79, gap = 1, J = 5, J_gap = 1, cost_model = 1, max_loop = 5, threads = 1, G_prec = 1.000000e-03,  slope_prec = 0.000000e+00,  progressive_sieve = 1, average_case, Min G2 Strategy. 

 index:       76, (beta,j): ( 100,   1) --> ( 699,   1), goal index:     2175, cost =
 index:       77, (beta,j): ( 101,   5) --> ( 699,   1), goal index:     2182, cost =
 index:       78, (beta,j): ( 101,   1) --> ( 699,   1), goal index:     2189, cost =
 index:       79, (beta,j): ( 102,   5) --> ( 699,   1), goal index:     2190, cost =
 index:       80, (beta,j): ( 102,   1) --> ( 699,   1), goal index:     2157, cost =
 index:       81, (beta,j): ( 103,   5) --> ( 699,   1), goal index:     2137, cost =
 index:       82, (beta,j): ( 103,   1) --> ( 699,   1), goal index:     2116, cost =
 index:       83, (beta,j): ( 104,   5) --> ( 699,   1), goal index:     2104, cost =
 index:       84, (beta,j): ( 104,   1) --> ( 699,   1), goal index:     2096, cost =
 index:       85, (beta,j): ( 105,   5) --> ( 699,   1), goal index:     2096, cost =
 index:       86, (beta,j): ( 105,   1) --> ( 699,   1), goal index:     2086, cost =
 index:       87, (beta,j): ( 106,   5) --> ( 699,   1), goal index:     2089, cost =
 index:       88, (beta,j): ( 106,   1) --> ( 699,   1), goal index:     2090, cost =
 index:       89, (beta,j): ( 107,   5) --> ( 699,   1), goal index:     2089, cost =
 index:       90, (beta,j): ( 107,   1) --> ( 699,   1), goal index:     2091, cost =
 index:       91, (beta,j): ( 108,   5) --> ( 699,   1), goal index:     2087, cost =
 index:       92, (beta,j): ( 108,   1) --> ( 699,   1), goal index:     2088, cost =
 index:       93, (beta,j): ( 109,   5) --> ( 699,   1), goal index:     2090, cost =
 index:       94, (beta,j): ( 109,   1) --> ( 699,   1), goal index:     2083, cost =
 index:       95, (beta,j): ( 110,   5) --> ( 699,   1), goal index:     2086, cost =
 index:       96, (beta,j): ( 110,   1) --> ( 699,   1), goal index:     2087, cost =
 index:       97, (beta,j): ( 111,   5) --> ( 699,   1), goal index:     2086, cost =
 index:       98, (beta,j): ( 111,   1) --> ( 699,   1), goal index:     2088, cost =
 index:       99, (beta,j): ( 112,   5) --> ( 699,   1), goal index:     2087, cost =
 index:      100, (beta,j): ( 112,   1) --> ( 699,   1), goal index:     2091, cost =
 index:      101, (beta,j): ( 113,   5) --> ( 699,   1), goal index:     2094, cost =
 index:      102, (beta,j): ( 113,   2) --> ( 699,   1), goal index:     2101, cost =
 index:      103, (beta,j): ( 113,   1) --> ( 699,   1), goal index:     2205, cost =
 index:      104, (beta,j): ( 114,   5) --> ( 699,   1), goal index:     2205, cost =
 index:      105, (beta,j): ( 114,   1) --> ( 699,   1), goal index:     2213, cost =
 index:      106, (beta,j): ( 115,   5) --> ( 699,   1), goal index:     2215, cost =
 index:      107, (beta,j): ( 115,   1) --> ( 699,   1), goal index:     2228, cost =
 index:      108, (beta,j): ( 116,   5) --> ( 699,   1), goal index:     2238, cost =
 index:      109, (beta,j): ( 116,   1) --> ( 699,   1), goal index:     2238, cost =
 index:      110, (beta,j): ( 117,   5) --> ( 699,   1), goal index:     2230, cost =
 index:      111, (beta,j): ( 117,   1) --> ( 699,   1), goal index:     2227, cost =
 index:      112, (beta,j): ( 118,   5) --> ( 699,   1), goal index:     2216, cost =
 index:      113, (beta,j): ( 118,   1) --> ( 699,   1), goal index:     2210, cost =
 index:      114, (beta,j): ( 119,   5) --> ( 699,   1), goal index:     2206, cost =
 index:      115, (beta,j): ( 119,   1) --> ( 699,   1), goal index:     2202, cost =
 index:      116, (beta,j): ( 120,   5) --> ( 699,   1), goal index:     2197, cost =
 index:      117, (beta,j): ( 120,   1) --> ( 699,   1), goal index:     2206, cost =
 index:      118, (beta,j): ( 121,   5) --> ( 699,   1), goal index:     2214, cost =
 index:      119, (beta,j): ( 121,   1) --> ( 699,   1), goal index:     2217, cost =
 index:      120, (beta,j): ( 122,   5) --> ( 699,   1), goal index:     2222, cost =
 index:      121, (beta,j): ( 122,   1) --> ( 699,   1), goal index:     2234, cost =
 index:      122, (beta,j): ( 123,   5) --> ( 699,   1), goal index:     2240, cost =
 index:      123, (beta,j): ( 123,   1) --> ( 699,   1), goal index:     2247, cost =
 index:      124, (beta,j): ( 124,   5) --> ( 699,   1), goal index:     2254, cost =
 index:      125, (beta,j): ( 124,   1) --> ( 699,   1), goal index:     2255, cost =
 index:      126, (beta,j): ( 125,   5) --> ( 699,   1), goal index:     2254, cost =
