============= Dilithium-I
[0m[1;31m dim = 2049, dvol = 15614.22 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 10, threads = 50, prec = 1.000000e+02, strategy_add_method = 2

 index:   77, (beta,j): ( 123,   3) --> ( 499,   1), goal index:  947, cost =
 index:   78, (beta,j): ( 124,   1) --> ( 499,   1), goal index:  947, cost =
 index:   79, (beta,j): ( 126,  12) --> ( 499,   1), goal index:  947, cost =
 index:   80, (beta,j): ( 126,   5) --> ( 499,   1), goal index:  947, cost =
 index:   81, (beta,j): ( 127,  12) --> ( 499,   1), goal index:  947, cost =
 index:   82, (beta,j): ( 127,   5) --> ( 499,   1), goal index:  947, cost =
 index:   83, (beta,j): ( 128,   6) --> ( 499,   1), goal index:  947, cost =
 index:   84, (beta,j): ( 128,   3) --> ( 499,   1), goal index:  947, cost =
 index:   85, (beta,j): ( 128,   2) --> ( 499,   1), goal index:  947, cost =
 index:   86, (beta,j): ( 129,  13) --> ( 499,   1), goal index:  947, cost =
 index:   87, (beta,j): ( 129,   7) --> ( 499,   1), goal index:  947, cost =
 index:   88, (beta,j): ( 129,   1) --> ( 499,   1), goal index:  947, cost =
 index:   89, (beta,j): ( 130,  11) --> ( 499,   1), goal index:  948, cost =
 index:   90, (beta,j): ( 130,  10) --> ( 499,   1), goal index:  948, cost =
 index:   91, (beta,j): ( 130,   1) --> ( 499,   1), goal index:  949, cost =
 index:   92, (beta,j): ( 131,  13) --> ( 499,   1), goal index:  949, cost =
 index:   93, (beta,j): ( 131,  10) --> ( 499,   1), goal index:  949, cost =
 index:   94, (beta,j): ( 131,   9) --> ( 499,   1), goal index:  949, cost =
 index:   95, (beta,j): ( 132,  14) --> ( 499,   1), goal index:  950, cost =
 index:   96, (beta,j): ( 132,  12) --> ( 499,   1), goal index:  950, cost =
 index:   97, (beta,j): ( 133,  13) --> ( 499,   1), goal index:  950, cost =
 index:   98, (beta,j): ( 133,  11) --> ( 499,   1), goal index:  951, cost =
 index:   99, (beta,j): ( 133,  10) --> ( 499,   1), goal index:  951, cost =
 index:  100, (beta,j): ( 134,  15) --> ( 499,   1), goal index:  952, cost =
 index:  101, (beta,j): ( 134,  11) --> ( 499,   1), goal index:  952, cost =
 index:  102, (beta,j): ( 134,  10) --> ( 499,   1), goal index:  952, cost =
 index:  103, (beta,j): ( 134,   8) --> ( 499,   1), goal index:  952, cost =
 index:  104, (beta,j): ( 134,   3) --> ( 499,   1), goal index:  952, cost =
 index:  105, (beta,j): ( 135,  14) --> ( 499,   1), goal index:  952, cost =
 index:  106, (beta,j): ( 135,   8) --> ( 499,   1), goal index:  952, cost =
 index:  107, (beta,j): ( 135,   7) --> ( 499,   1), goal index:  952, cost =
 index:  108, (beta,j): ( 135,   3) --> ( 499,   1), goal index:  953, cost =
 index:  109, (beta,j): ( 137,   8) --> ( 499,   1), goal index:  953, cost =
 index:  110, (beta,j): ( 137,   6) --> ( 499,   1), goal index:  953, cost =
 index:  111, (beta,j): ( 137,   5) --> ( 499,   1), goal index:  953, cost =
 index:  112, (beta,j): ( 138,  11) --> ( 499,   1), goal index:  953, cost =
 index:  113, (beta,j): ( 138,   1) --> ( 499,   1), goal index:  953, cost =
 index:  114, (beta,j): ( 139,   9) --> ( 499,   1), goal index:  953, cost =
 index:  115, (beta,j): ( 139,   8) --> ( 499,   1), goal index:  953, cost =
 index:  116, (beta,j): ( 139,   3) --> ( 499,   1), goal index:  953, cost =
 index:  117, (beta,j): ( 140,   8) --> ( 499,   1), goal index:  953, cost =
 index:  118, (beta,j): ( 140,   3) --> ( 499,   1), goal index:  953, cost =
 index:  119, (beta,j): ( 142,  11) --> ( 499,   1), goal index:  953, cost =
 index:  120, (beta,j): ( 143,   7) --> ( 499,   1), goal index:  954, cost =
 index:  121, (beta,j): ( 144,  13) --> ( 499,   1), goal index:  954, cost =
 index:  122, (beta,j): ( 144,  10) --> ( 499,   1), goal index:  954, cost =
 index:  123, (beta,j): ( 145,  12) --> ( 499,   1), goal index:  954, cost =
 index:  124, (beta,j): ( 145,  10) --> ( 499,   1), goal index:  954, cost =
 index:  125, (beta,j): ( 145,   9) --> ( 499,   1), goal index:  954, cost =
 index:  126, (beta,j): ( 145,   6) --> ( 499,   1), goal index:  954, cost =
 index:  127, (beta,j): ( 145,   4) --> ( 499,   1), goal index:  954, cost =
 index:  128, (beta,j): ( 146,   7) --> ( 499,   1), goal index:  954, cost =
 index:  129, (beta,j): ( 146,   6) --> ( 499,   1), goal index:  954, cost =
 index:  130, (beta,j): ( 146,   4) --> ( 499,   1), goal index:  954, cost =
 index:  131, (beta,j): ( 146,   3) --> ( 499,   1), goal index:  954, cost =
 index:  132, (beta,j): ( 147,  15) --> ( 499,   1), goal index:  954, cost =
 index:  133, (beta,j): ( 148,  12) --> ( 499,   1), goal index:  954, cost =
 index:  134, (beta,j): ( 149,  13) --> ( 499,   1), goal index:  954, cost =
 index:  135, (beta,j): ( 149,  11) --> ( 499,   1), goal index:  954, cost =
 index:  136, (beta,j): ( 149,   9) --> ( 499,   1), goal index:  955, cost =
 index:  137, (beta,j): ( 149,   8) --> ( 499,   1), goal index:  955, cost =
 index:  138, (beta,j): ( 149,   6) --> ( 499,   1), goal index:  955, cost =
 index:  139, (beta,j): ( 150,  15) --> ( 499,   1), goal index:  955, cost =
 index:  140, (beta,j): ( 150,  13) --> ( 499,   1), goal index:  955, cost =
 index:  141, (beta,j): ( 151,  12) --> ( 499,   1), goal index:  955, cost =
 index:  142, (beta,j): ( 152,   7) --> ( 499,   1), goal index:  955, cost =
 index:  143, (beta,j): ( 152,   3) --> ( 499,   1), goal index:  955, cost =
 index:  144, (beta,j): ( 153,   9) --> ( 499,   1), goal index:  955, cost =
 index:  145, (beta,j): ( 153,   1) --> ( 499,   1), goal index:  955, cost =
 index:  146, (beta,j): ( 154,  15) --> ( 499,   1), goal index:  955, cost =
 index:  147, (beta,j): ( 154,   9) --> ( 499,   1), goal index:  955, cost =
 index:  148, (beta,j): ( 156,  15) --> ( 499,   1), goal index:  955, cost =
 index:  149, (beta,j): ( 156,   9) --> ( 499,   1), goal index:  955, cost =
 index:  150, (beta,j): ( 156,   4) --> ( 499,   1), goal index:  955, cost =
 index:  151, (beta,j): ( 156,   3) --> ( 499,   1), goal index:  955, cost =
 index:  152, (beta,j): ( 157,   1) --> ( 499,   1), goal index:  955, cost =
 index:  153, (beta,j): ( 158,  15) --> ( 499,   1), goal index:  955, cost =
 index:  154, (beta,j): ( 158,   4) --> ( 499,   1), goal index:  955, cost =
 index:  155, (beta,j): ( 159,  15) --> ( 499,   1), goal index:  955, cost =
 index:  156, (beta,j): ( 159,  13) --> ( 499,   1), goal index:  955, cost =
 index:  157, (beta,j): ( 159,  12) --> ( 499,   1), goal index:  955, cost =
 index:  158, (beta,j): ( 159,   3) --> ( 499,   1), goal index:  955, cost =
 index:  159, (beta,j): ( 160,  12) --> ( 499,   1), goal index:  955, cost =
 index:  160, (beta,j): ( 160,  10) --> ( 499,   1), goal index:  955, cost =
 index:  161, (beta,j): ( 161,   9) --> ( 499,   1), goal index:  956, cost =
 index:  162, (beta,j): ( 161,   7) --> ( 499,   1), goal index:  956, cost =
 index:  163, (beta,j): ( 161,   6) --> ( 499,   1), goal index:  956, cost =
 index:  164, (beta,j): ( 161,   5) --> ( 499,   1), goal index:  956, cost =
 index:  165, (beta,j): ( 161,   1) --> ( 499,   1), goal index:  957, cost =
 index:  166, (beta,j): ( 162,  14) --> ( 499,   1), goal index:  957, cost =
 index:  167, (beta,j): ( 162,  11) --> ( 499,   1), goal index:  958, cost =
 index:  168, (beta,j): ( 162,   7) --> ( 499,   1), goal index:  958, cost =
 index:  169, (beta,j): ( 162,   3) --> ( 499,   1), goal index:  958, cost =
 index:  170, (beta,j): ( 163,  14) --> ( 499,   1), goal index:  958, cost =
 index:  171, (beta,j): ( 163,  11) --> ( 499,   1), goal index:  958, cost =
 index:  172, (beta,j): ( 163,   7) --> ( 499,   1), goal index:  958, cost =
 index:  173, (beta,j): ( 163,   5) --> ( 499,   1), goal index:  958, cost =
 index:  174, (beta,j): ( 164,  12) --> ( 499,   1), goal index:  958, cost =
 index:  175, (beta,j): ( 164,   4) --> ( 499,   1), goal index:  958, cost =
 index:  176, (beta,j): ( 165,  11) --> ( 499,   1), goal index:  958, cost =
 index:  177, (beta,j): ( 165,   8) --> ( 499,   1), goal index:  958, cost =
 index:  178, (beta,j): ( 166,  10) --> ( 499,   1), goal index:  959, cost =
 index:  179, (beta,j): ( 168,  15) --> ( 499,   1), goal index:  959, cost =
 index:  180, (beta,j): ( 168,  14) --> ( 499,   1), goal index:  959, cost =
 index:  181, (beta,j): ( 168,   5) --> ( 499,   1), goal index:  959, cost =
 index:  182, (beta,j): ( 169,  10) --> ( 499,   1), goal index:  960, cost =
 index:  183, (beta,j): ( 169,   3) --> ( 499,   1), goal index:  961, cost =
 index:  184, (beta,j): ( 170,  11) --> ( 499,   1), goal index:  961, cost =
 index:  185, (beta,j): ( 170,   2) --> ( 499,   1), goal index:  961, cost =
 index:  186, (beta,j): ( 171,  13) --> ( 499,   1), goal index:  962, cost =
 index:  187, (beta,j): ( 171,  11) --> ( 499,   1), goal index:  963, cost =
 index:  188, (beta,j): ( 171,   4) --> ( 499,   1), goal index:  963, cost =
 index:  189, (beta,j): ( 172,  12) --> ( 499,   1), goal index:  963, cost =
 index:  190, (beta,j): ( 172,  11) --> ( 499,   1), goal index:  963, cost =
 index:  191, (beta,j): ( 172,   6) --> ( 499,   1), goal index:  963, cost =
 index:  192, (beta,j): ( 172,   1) --> ( 499,   1), goal index:  964, cost =
 index:  193, (beta,j): ( 173,   3) --> ( 499,   1), goal index:  964, cost =
 index:  194, (beta,j): ( 173,   1) --> ( 499,   1), goal index:  965, cost =
 index:  195, (beta,j): ( 174,  13) --> ( 499,   1), goal index:  965, cost =
 index:  196, (beta,j): ( 174,  12) --> ( 499,   1), goal index:  966, cost =
 index:  197, (beta,j): ( 174,   6) --> ( 499,   1), goal index:  966, cost =
 index:  198, (beta,j): ( 174,   3) --> ( 499,   1), goal index:  966, cost =
 index:  199, (beta,j): ( 175,  14) --> ( 499,   1), goal index:  966, cost =
 index:  200, (beta,j): ( 175,  12) --> ( 499,   1), goal index:  967, cost =
 index:  201, (beta,j): ( 175,   9) --> ( 499,   1), goal index:  968, cost =
 index:  202, (beta,j): ( 175,   8) --> ( 499,   1), goal index:  968, cost =
 index:  203, (beta,j): ( 176,  12) --> ( 499,   1), goal index:  968, cost =
 index:  204, (beta,j): ( 177,  14) --> ( 499,   1), goal index:  969, cost =
 index:  205, (beta,j): ( 177,   1) --> ( 499,   1), goal index:  970, cost =
 index:  206, (beta,j): ( 178,  15) --> ( 499,   1), goal index:  970, cost =
 index:  207, (beta,j): ( 178,  14) --> ( 499,   1), goal index:  970, cost =
 index:  208, (beta,j): ( 178,   8) --> ( 499,   1), goal index:  970, cost =
 index:  209, (beta,j): ( 178,   5) --> ( 499,   1), goal index:  970, cost =
 index:  210, (beta,j): ( 179,  14) --> ( 499,   1), goal index:  970, cost =
 index:  211, (beta,j): ( 179,   9) --> ( 499,   1), goal index:  970, cost =
 index:  212, (beta,j): ( 181,   8) --> ( 499,   1), goal index:  970, cost =
 index:  213, (beta,j): ( 181,   6) --> ( 499,   1), goal index:  970, cost =
 index:  214, (beta,j): ( 181,   5) --> ( 499,   1), goal index:  970, cost =
 index:  215, (beta,j): ( 181,   2) --> ( 499,   1), goal index:  971, cost =
 index:  216, (beta,j): ( 182,   5) --> ( 499,   1), goal index:  971, cost =
 index:  217, (beta,j): ( 182,   3) --> ( 499,   1), goal index:  971, cost =
 index:  218, (beta,j): ( 182,   2) --> ( 499,   1), goal index:  972, cost =
 index:  219, (beta,j): ( 183,  12) --> ( 499,   1), goal index:  972, cost =
 index:  220, (beta,j): ( 184,  15) --> ( 499,   1), goal index:  972, cost =
 index:  221, (beta,j): ( 184,  10) --> ( 499,   1), goal index:  972, cost =
 index:  222, (beta,j): ( 184,   5) --> ( 499,   1), goal index:  974, cost =
 index:  223, (beta,j): ( 185,   9) --> ( 499,   1), goal index:  974, cost =
 index:  224, (beta,j): ( 186,  15) --> ( 499,   1), goal index:  974, cost =
 index:  225, (beta,j): ( 186,  14) --> ( 499,   1), goal index:  974, cost =
 index:  226, (beta,j): ( 186,   5) --> ( 499,   1), goal index:  974, cost =
 index:  227, (beta,j): ( 187,   8) --> ( 499,   1), goal index:  974, cost =
 index:  228, (beta,j): ( 187,   5) --> ( 499,   1), goal index:  974, cost =
 index:  229, (beta,j): ( 188,  11) --> ( 499,   1), goal index:  974, cost =
 index:  230, (beta,j): ( 188,   9) --> ( 499,   1), goal index:  975, cost =
 index:  231, (beta,j): ( 189,  14) --> ( 499,   1), goal index:  975, cost =
 index:  232, (beta,j): ( 190,  14) --> ( 499,   1), goal index:  975, cost =
 index:  233, (beta,j): ( 190,  10) --> ( 499,   1), goal index:  975, cost =
 index:  234, (beta,j): ( 190,   6) --> ( 499,   1), goal index:  975, cost =
 index:  235, (beta,j): ( 190,   2) --> ( 499,   1), goal index:  975, cost =
 index:  236, (beta,j): ( 191,  15) --> ( 499,   1), goal index:  975, cost =
 index:  237, (beta,j): ( 191,   3) --> ( 499,   1), goal index:  975, cost =
 index:  238, (beta,j): ( 192,  10) --> ( 499,   1), goal index:  975, cost =
 index:  239, (beta,j): ( 193,  15) --> ( 499,   1), goal index:  975, cost =
 index:  240, (beta,j): ( 193,  14) --> ( 499,   1), goal index:  975, cost =
 index:  241, (beta,j): ( 193,  12) --> ( 499,   1), goal index:  975, cost =
 index:  242, (beta,j): ( 193,   8) --> ( 499,   1), goal index:  975, cost =
 index:  243, (beta,j): ( 194,  14) --> ( 499,   1), goal index:  975, cost =
 index:  244, (beta,j): ( 194,  13) --> ( 499,   1), goal index:  976, cost =
 index:  245, (beta,j): ( 194,  12) --> ( 499,   1), goal index:  977, cost =
 index:  246, (beta,j): ( 194,   8) --> ( 499,   1), goal index:  977, cost =
 index:  247, (beta,j): ( 194,   1) --> ( 499,   1), goal index:  977, cost =
 index:  248, (beta,j): ( 195,  10) --> ( 499,   1), goal index:  977, cost =
 index:  249, (beta,j): ( 196,  11) --> ( 499,   1), goal index:  977, cost =
 index:  250, (beta,j): ( 196,   8) --> ( 499,   1), goal index:  977, cost =
 index:  251, (beta,j): ( 196,   6) --> ( 499,   1), goal index:  977, cost =
 index:  252, (beta,j): ( 198,  12) --> ( 499,   1), goal index:  977, cost =
 index:  253, (beta,j): ( 198,   7) --> ( 499,   1), goal index:  977, cost =
 index:  254, (beta,j): ( 199,  13) --> ( 499,   1), goal index:  977, cost =
 index:  255, (beta,j): ( 199,   3) --> ( 499,   1), goal index:  977, cost =
 index:  256, (beta,j): ( 200,  12) --> ( 499,   1), goal index:  977, cost =
 index:  257, (beta,j): ( 201,   8) --> ( 499,   1), goal index:  977, cost =
 index:  258, (beta,j): ( 202,   1) --> ( 499,   1), goal index:  977, cost =
 index:  259, (beta,j): ( 204,  14) --> ( 499,   1), goal index:  977, cost =
 index:  260, (beta,j): ( 204,   5) --> ( 499,   1), goal index:  977, cost =
 index:  261, (beta,j): ( 204,   4) --> ( 499,   1), goal index:  978, cost =
 index:  262, (beta,j): ( 204,   3) --> ( 499,   1), goal index:  978, cost =
 index:  263, (beta,j): ( 205,   7) --> ( 499,   1), goal index:  978, cost =
 index:  264, (beta,j): ( 205,   6) --> ( 499,   1), goal index:  978, cost =
 index:  265, (beta,j): ( 205,   3) --> ( 499,   1), goal index:  978, cost =
 index:  266, (beta,j): ( 208,  11) --> ( 499,   1), goal index:  979, cost =
 index:  267, (beta,j): ( 208,  10) --> ( 499,   1), goal index:  979, cost =
 index:  268, (beta,j): ( 208,   8) --> ( 499,   1), goal index:  979, cost =
 index:  269, (beta,j): ( 208,   1) --> ( 499,   1), goal index:  979, cost =
 index:  270, (beta,j): ( 209,  15) --> ( 499,   1), goal index:  979, cost =
 index:  271, (beta,j): ( 209,   6) --> ( 499,   1), goal index:  979, cost =
 index:  272, (beta,j): ( 210,   2) --> ( 499,   1), goal index:  979, cost =
 index:  273, (beta,j): ( 211,  13) --> ( 499,   1), goal index:  979, cost =
 index:  274, (beta,j): ( 211,  11) --> ( 499,   1), goal index:  980, cost =
 index:  275, (beta,j): ( 211,   7) --> ( 499,   1), goal index:  980, cost =
 index:  276, (beta,j): ( 212,  13) --> ( 499,   1), goal index:  981, cost =
 index:  277, (beta,j): ( 212,   4) --> ( 499,   1), goal index:  981, cost =
 index:  278, (beta,j): ( 212,   3) --> ( 499,   1), goal index:  981, cost =
 index:  279, (beta,j): ( 212,   2) --> ( 499,   1), goal index:  981, cost =
 index:  280, (beta,j): ( 213,  15) --> ( 499,   1), goal index:  981, cost =
 index:  281, (beta,j): ( 213,   6) --> ( 499,   1), goal index:  981, cost =
 index:  282, (beta,j): ( 213,   4) --> ( 499,   1), goal index:  981, cost =
 index:  283, (beta,j): ( 214,  11) --> ( 499,   1), goal index:  983, cost =
 index:  284, (beta,j): ( 215,  14) --> ( 499,   1), goal index:  983, cost =
 index:  285, (beta,j): ( 215,   6) --> ( 499,   1), goal index:  983, cost =
 index:  286, (beta,j): ( 216,  10) --> ( 499,   1), goal index:  983, cost =
 index:  287, (beta,j): ( 216,   8) --> ( 499,   1), goal index:  983, cost =
 index:  288, (beta,j): ( 217,  12) --> ( 499,   1), goal index:  983, cost =
 index:  289, (beta,j): ( 217,  10) --> ( 499,   1), goal index:  984, cost =
 index:  290, (beta,j): ( 217,   5) --> ( 499,   1), goal index:  985, cost =
 index:  291, (beta,j): ( 217,   1) --> ( 499,   1), goal index:  985, cost =
 index:  292, (beta,j): ( 218,  10) --> ( 499,   1), goal index:  985, cost =
 index:  293, (beta,j): ( 222,   8) --> ( 499,   1), goal index:  985, cost =
 index:  294, (beta,j): ( 222,   2) --> ( 499,   1), goal index:  985, cost =
 index:  295, (beta,j): ( 223,  13) --> ( 499,   1), goal index:  985, cost =
 index:  296, (beta,j): ( 224,  15) --> ( 499,   1), goal index:  985, cost =
 index:  297, (beta,j): ( 224,  10) --> ( 499,   1), goal index:  985, cost =
 index:  298, (beta,j): ( 225,   4) --> ( 499,   1), goal index:  985, cost =
 index:  299, (beta,j): ( 227,  14) --> ( 499,   1), goal index:  985, cost =
 index:  300, (beta,j): ( 227,  12) --> ( 499,   1), goal index:  985, cost =
 index:  301, (beta,j): ( 227,   1) --> ( 499,   1), goal index:  985, cost =
